"Easy Catalog Images","Easy Catalog Images"
"General","General"
"Use category image, when thumbnail is not available","Use category image, when thumbnail is not available"
"Background color","Background color"
"Color in RGB mode. Example:<br/> 255,255,255 - white<br/>0,0,0 - black","Color in RGB mode. Example:<br/> 255,255,255 - white<br/>0,0,0 - black"
"Category page","Category page"
"Enabled for default categories","Enabled for default categories"
"Enabled for anchor categories","Enabled for anchor categories"
"Number of categories to show","Number of categories to show"
"Columns count","Columns count"
"Show images","Show images"
"Use image helper to resize images","Use image helper to resize images"
"Set Yes, to guarantee the equal sized images","Set Yes, to guarantee the equal sized images"
"Image width","Image width"
"Image height","Image height"
"Number of subcategories to show","Number of subcategories to show"
